gene,length,count,rate
PRPF39,3532,3,1177.3333333333333
MAEL,2355,2,1177.5
BATF3,2357,2,1178.5
TTLL5,4716,4,1179
BMI1,3540,3,1180
EGFLAM,4720,4,1180
ADAP1,2360,2,1180
ODF4,1180,1,1180
B4GALT5,4722,4,1180.5
CDKN2AIP,3542,3,1180.6666666666667
INO80B,1181,1,1181
VPS54,4725,4,1181.25
POLA2,3544,3,1181.3333333333333
ARHGEF2,4727,4,1181.75
SH3KBP1,4728,4,1182
COL1A1,5914,5,1182.8
SLC22A9,2366,2,1183
RRP36,1183,1,1183
C1QC,1183,1,1183
IGSF8,2366,2,1183
CSE1L,3550,3,1183.3333333333333
ANKRD13B,3550,3,1183.3333333333333
ZSCAN31,3551,3,1183.6666666666667
METTL23,1184,1,1184
NELL2,3553,3,1184.3333333333333
UBE2NL,1185,1,1185
UGT1A9,2371,2,1185.5
EGR4,2372,2,1186
NSUN2,3558,3,1186
MS4A6E,1187,1,1187
IL36B,1188,1,1188
MYRF,5940,5,1188
DRD5,2376,2,1188
NSMCE2,1188,1,1188
ITGB3,5941,5,1188.2
LPL,3565,3,1188.3333333333333
TTBK1,7130,6,1188.3333333333333
SLC39A6,3566,3,1188.6666666666667
USP19,4755,4,1188.75
KRTAP5-9,1189,1,1189
ARAF,2378,2,1189
RPS4Y1,1189,1,1189
IL11,2378,2,1189
NRF1,3568,3,1189.3333333333333
UBQLN3,2379,2,1189.5
GYS1,3569,3,1189.6666666666667
TINAGL1,4759,4,1189.75
BRIX1,2380,2,1190
CLSTN1,4760,4,1190
TIMM23,1190,1,1190
NPVF,1190,1,1190
THOP1,4761,4,1190.25
UBA1,3572,3,1190.6666666666667
POU5F1B,4765,4,1191.25
ZFR2,4766,4,1191.5
ITLN1,1192,1,1192
PRSS41,1192,1,1192
KRTAP26-1,1192,1,1192
PRKCZ,2385,2,1192.5
FAM187B,1194,1,1194
SLC26A10,2389,2,1194.5
LEMD3,4780,4,1195
PRKD2,3588,3,1196
AMPD1,2392,2,1196
DIRAS3,2392,2,1196
DOK3,3588,3,1196
TMEM198,2393,2,1196.5
GABRD,2393,2,1196.5
FGF8,1197,1,1197
LY86,1197,1,1197
PIH1D1,1197,1,1197
ISL1,2394,2,1197
NR1H2,3592,3,1197.3333333333333
TMEM184B,4792,4,1198
KCNN2,3594,3,1198
ZNF823,2396,2,1198
AIMP2,1198,1,1198
CDH18,4793,4,1198.25
KCNS3,2397,2,1198.5
TNIP3,2397,2,1198.5
LOXL4,3597,3,1199
NEURL2,1199,1,1199
AOAH,2398,2,1199
TREX1,1200,1,1200
ATP2C2,3600,3,1200
ECH1,1200,1,1200
ABCA8,6002,5,1200.4
PALM3,2401,2,1200.5
NEUROD1,3602,3,1200.6666666666667
MADD,6005,5,1201
IFNW1,1201,1,1201
ANKRD54,2403,2,1201.5
PCDHGA3,4806,4,1201.5
PXDNL,4807,4,1201.75
TCHHL1,3606,3,1202
C17orf99,2404,2,1202
CHCHD1,1202,1,1202
PRSS12,4809,4,1202.25
OTOF,7214,6,1202.3333333333333
SI,6012,5,1202.4
MYH4,6016,5,1203.2
SPATA7,3610,3,1203.3333333333333
IL4I1,2407,2,1203.5
C2orf81,2407,2,1203.5
FUT11,2408,2,1204
MAST3,6020,5,1204
ZBTB42,3612,3,1204
UGT1A8,2409,2,1204.5
GNL2,2409,2,1204.5
DCBLD1,3614,3,1204.6666666666667
TNMD,1205,1,1205
CLPP,2410,2,1205
STK11IP,3618,3,1206
NCAPD2,4825,4,1206.25
SGK2,2413,2,1206.5
OR10G4,3623,3,1207.6666666666667
ASPG,4831,4,1207.75
IL4R,3624,3,1208
NOL6,4834,4,1208.5
CLDN20,1209,1,1209
NR4A1,4837,4,1209.25
C19orf47,3628,3,1209.3333333333333
C19orf38,1210,1,1210
ABCB9,6051,5,1210.2
ARMC5,4844,4,1211
MAGEE1,3633,3,1211
IFNG,1211,1,1211
OR2B2,1212,1,1212
AIG1,3636,3,1212
RHBG,2424,2,1212
EFNA2,2424,2,1212
MC1R,3637,3,1212.3333333333333
CCDC60,2426,2,1213
ZNF274,4852,4,1213
MAG,2426,2,1213
NBAS,7278,6,1213
NTN5,2426,2,1213
TMEM116,3640,3,1213.3333333333333
PCDHGA12,4854,4,1213.5
CACNA1F,6070,5,1214
TRAPPC3,2428,2,1214
GIMAP7,1214,1,1214
LRRC36,2428,2,1214
CCS,1214,1,1214
CAD,7286,6,1214.3333333333333
PPM1M,2429,2,1214.5
KRTAP10-1,1215,1,1215
KIFC2,3646,3,1215.3333333333333
UGT1A3,2431,2,1215.5
RBM20,7293,6,1215.5
ENPP2,3647,3,1215.6666666666667
BECN1,4865,4,1216.25
LGR6,3649,3,1216.3333333333333
NSMF,3649,3,1216.3333333333333
HMGCS2,2433,2,1216.5
SRGN,1217,1,1217
FEZF1,2435,2,1217.5
GSTA1,1218,1,1218
FOXO3,7308,6,1218
ZNF215,3655,3,1218.3333333333333
FGA,3655,3,1218.3333333333333
TSSK1B,2437,2,1218.5
MTCL1,6093,5,1218.6
DDX49,2438,2,1219
BTBD10,2439,2,1219.5
WFS1,3662,3,1220.6666666666667
INSL6,1221,1,1221
RSPH6A,2442,2,1221
TOM1L1,2442,2,1221
SELL,2442,2,1221
CBLN1,2442,2,1221
SLC17A6,3665,3,1221.6666666666667
CCNG1,2444,2,1222
SIT1,1222,1,1222
ANG,1222,1,1222
HIPK4,2446,2,1223
SMPD1,2446,2,1223
USPL1,4894,4,1223.5
MGARP,1224,1,1224
ADAM33,3674,3,1224.6666666666667
SNX31,2450,2,1225
SPINK7,1225,1,1225
AS3MT,2450,2,1225
M6PR,2450,2,1225
ZNF280D,4902,4,1225.5
KRT1,2451,2,1225.5
SYNM,7353,6,1225.5
ZRANB2,3677,3,1225.6666666666667
MBLAC1,1226,1,1226
SLC18B1,2452,2,1226
MYADML2,2452,2,1226
EXOC6,3678,3,1226
ATRAID,1227,1,1227
SLC25A18,2454,2,1227
PDCD2L,1227,1,1227
TRAF7,3683,3,1227.6666666666667
WDR77,2456,2,1228
CDKN2AIPNL,1228,1,1228
MAN2B1,3685,3,1228.3333333333333
CEP83,3686,3,1228.6666666666667
OR2M2,1229,1,1229
CYP8B1,3688,3,1229.3333333333333
ZNF174,2459,2,1229.5
CXCR1,2459,2,1229.5
SPPL2B,3691,3,1230.3333333333333
CITED1,1231,1,1231
CER1,1231,1,1231
LYSMD1,2462,2,1231
NUBP1,1231,1,1231
TRHR,3694,3,1231.3333333333333
MFGE8,2464,2,1232
BRDT,3696,3,1232
ERBB2,4930,4,1232.5
SLC5A2,2467,2,1233.5
BBS4,2467,2,1233.5
MYEOV,2468,2,1234
TP53I13,2468,2,1234
CCDC126,2470,2,1235
PRR12,7416,6,1236
GDF3,1236,1,1236
RECQL5,3710,3,1236.6666666666667
CACNA1A,8657,7,1236.7142857142858
UBE4B,6184,5,1236.8
CYP27B1,2474,2,1237
ZP4,2474,2,1237
PPM1J,2474,2,1237
C16orf74,1237,1,1237
DNAI2,2475,2,1237.5
FAM83D,2475,2,1237.5
"NAGLU",2475,2,1237.5
BCL9,6189,5,1237.8
SUGP2,6189,5,1237.8
OR4F6,1238,1,1238
KLRC2,1238,1,1238
KRT73,2476,2,1238
TRIM32,3715,3,1238.3333333333333
SP110,6192,5,1238.4
SUPV3L1,2477,2,1238.5
PLK3,2477,2,1238.5
PRDM12,2478,2,1239
GNAT3,1239,1,1239
VN1R5,1239,1,1239
ARMC3,3718,3,1239.3333333333333
GPR141,3718,3,1239.3333333333333
SYCE1,2479,2,1239.5
SLC8A2,4959,4,1239.75
NOTCH3,8680,7,1240
HAGHL,2481,2,1240.5
SPAG8,2481,2,1240.5
CHRNE,2482,2,1241
CLDN17,1241,1,1241
SSR4,2482,2,1241
ARSH,2482,2,1241
COL5A3,6207,5,1241.4
DBX1,1242,1,1242
UCN3,1243,1,1243
TAF1L,6216,5,1243.2
RAD51AP2,3730,3,1243.3333333333333
LYPD5,2487,2,1243.5
DRC1,2487,2,1243.5
SULT1C3,1244,1,1244
OR9Q1,2488,2,1244
SSC5D,4977,4,1244.25
IZUMO3,1245,1,1245
OR4K14,1245,1,1245
RPUSD3,2491,2,1245.5
KPRP,2492,2,1246
TMEM171,1247,1,1247
CENPU,2494,2,1247
GPR162,2495,2,1247.5
SLC19A1,4991,4,1247.75
TEX13B,1248,1,1248
SLC45A1,2496,2,1248
SYCE2,1248,1,1248
KRI1,3744,3,1248
ZMYM6,6241,5,1248.2
EIF3B,3745,3,1248.3333333333333
COL9A3,2497,2,1248.5
ELF3,4994,4,1248.5
GNA14,2497,2,1248.5
ZNF814,6244,5,1248.8
MORC1,3747,3,1249
MYL12B,1249,1,1249
SLC17A2,2498,2,1249
MTG2,3747,3,1249
ITGA5,4996,4,1249
SPAG1,3748,3,1249.3333333333333
ZNF114,2499,2,1249.5
KAT8,2500,2,1250
HLA-DRB5,1250,1,1250
PRF1,2500,2,1250
GAA,3751,3,1250.3333333333333
AGAP3,3751,3,1250.3333333333333
DDX50,2501,2,1250.5
ORC3,2501,2,1250.5
PENK,1251,1,1251
C1orf54,1251,1,1251
OXGR1,2503,2,1251.5
PLS1,3755,3,1251.6666666666667
EIF6,1252,1,1252
PIK3C2G,5013,4,1253.25
XRCC5,3761,3,1253.6666666666667
BUB1,3762,3,1254
CD79B,1254,1,1254
AURKB,1254,1,1254
IFT172,6271,5,1254.2
AMIGO2,3763,3,1254.3333333333333
ZNF865,3763,3,1254.3333333333333
SLC29A2,2509,2,1254.5
RNF186,1255,1,1255
TMEM61,1256,1,1256
LIPE,3768,3,1256
TRIM42,2514,2,1257
GP1BA,2514,2,1257
RHOXF2B,1257,1,1257
UBXN4,3771,3,1257
TBC1D26,3772,3,1257.3333333333333
ZNF157,2516,2,1258
TNNT3,1258,1,1258
RIPK2,2516,2,1258
OR10K1,3775,3,1258.3333333333333
TSNAXIP1,2517,2,1258.5
CRACR2A,7554,6,1259
POLR3C,3777,3,1259
MYH9,7554,6,1259
IFNGR1,2519,2,1259.5
PHLPP1,6299,5,1259.8
ZNF524,1260,1,1260
DIS3L,3780,3,1260
PLK5,2520,2,1260
HERC6,3781,3,1260.3333333333333
SLC44A2,3784,3,1261.3333333333333
CACNA1S,6307,5,1261.4
METTL3,2523,2,1261.5
TMIGD2,1262,1,1262
NPC1L1,5048,4,1262
ZNF433,2524,2,1262
DMBX1,5050,4,1262.5
ACD,2526,2,1263
GMNN,1263,1,1263
AK9,6317,5,1263.4
TATDN3,2527,2,1263.5
ATG2A,6318,5,1263.6
EMILIN3,3791,3,1263.6666666666667
MUTYH,2528,2,1264
MRPL9,1264,1,1264
RHPN2,3793,3,1264.3333333333333
SPDL1,2529,2,1264.5
KRT76,2529,2,1264.5
EPHB4,5058,4,1264.5
COL2A1,5059,4,1264.75
TESK1,2530,2,1265
RIT2,1265,1,1265
BCL2L13,5062,4,1265.5
FNDC3A,6328,5,1265.6
RAI14,5064,4,1266
ERAS,1266,1,1266
POR,2532,2,1266
DNAJB3,1266,1,1266
PIP5K1A,3800,3,1266.6666666666667
TSFM,2534,2,1267
PRSS38,1267,1,1267
OR1M1,2535,2,1267.5
ZNF221,2535,2,1267.5
CYP4A22,2535,2,1267.5
ALPL,2536,2,1268
ZDHHC12,2536,2,1268
WFDC8,1268,1,1268
CPZ,2538,2,1269
CBY1,1269,1,1269
SPINT2,3807,3,1269
TADA1,2539,2,1269.5
BRF1,3809,3,1269.6666666666667
NRG3,3811,3,1270.3333333333333
GCM2,2541,2,1270.5
WSCD2,5082,4,1270.5
KCNH8,5082,4,1270.5
CENPJ,5082,4,1270.5
ABCG4,3812,3,1270.6666666666667
TPTE,2542,2,1271
"NARF",3814,3,1271.3333333333333
ARHGDIG,1272,1,1272
RPS26,1272,1,1272
SPTB,10177,8,1272.125
RASAL1,3817,3,1272.3333333333333
USP42,5090,4,1272.5
ZNF416,2545,2,1272.5
IGDCC4,6363,5,1272.6
GPC2,2546,2,1273
C1orf198,3819,3,1273
KCNH6,3821,3,1273.6666666666667
TTC7A,5095,4,1273.75
UPB1,3823,3,1274.3333333333333
NDUFAF6,2549,2,1274.5
PMF1,1275,1,1275
CPSF4L,1275,1,1275
TBX5,3825,3,1275
DOT1L,7652,6,1275.3333333333333
VGF,2551,2,1275.5
RNF17,5102,4,1275.5
DACT1,3828,3,1276
PRKAR1B,2553,2,1276.5
TFAP2A,3831,3,1277
LYSMD2,1277,1,1277
L1TD1,3831,3,1277
SYDE1,3832,3,1277.3333333333333
PRKD1,3833,3,1277.6666666666667
SEC24A,6389,5,1277.8
FANCG,2556,2,1278
DDI1,2557,2,1278.5
PSKH2,2557,2,1278.5
NHLH1,2557,2,1278.5
ADAD2,2558,2,1279
PLK4,3838,3,1279.3333333333333
SLC22A7,2559,2,1279.5
MFHAS1,6399,5,1279.8
CHRNB1,2560,2,1280
KBTBD3,3840,3,1280
HIRIP3,2560,2,1280
SCNN1B,2560,2,1280
CCDC154,2561,2,1280.5
ANPEP,3843,3,1281
GLDC,3843,3,1281
SEZ6L2,3843,3,1281
KLHDC7B,5125,4,1281.25
ZNF729,3844,3,1281.3333333333333
GALT,2566,2,1283
TKTL1,2566,2,1283
TTC38,2566,2,1283
CYP27A1,2566,2,1283
SUGP1,2566,2,1283
SENP3,2567,2,1283.5
SIGLEC14,5134,4,1283.5
C11orf1,2568,2,1284
HTR1B,2568,2,1284
L1CAM,5138,4,1284.5
TTC16,5139,4,1284.75
MAOB,2570,2,1285
OR2T27,1285,1,1285
GDF5,2572,2,1286
DOCK6,6430,5,1286
KRTAP10-9,1286,1,1286
LMTK3,5144,4,1286
ZNF286B,5145,4,1286.25
C9orf163,2573,2,1286.5
CPA5,2573,2,1286.5
PTPRF,7720,6,1286.6666666666667
UIMC1,2574,2,1287
FAM174A,1287,1,1287
SEC16A,9018,7,1288.2857142857142
VCAM1,3865,3,1288.3333333333333
FGF17,2578,2,1289
MTX1,2579,2,1289.5
TRMT1,2579,2,1289.5
ZNF277,2580,2,1290
U2AF1L4,2582,2,1291
EHBP1,5165,4,1291.25
DENND2A,3874,3,1291.3333333333333
NKX2-1,2583,2,1291.5
SELE,3875,3,1291.6666666666667
DQX1,2584,2,1292
TMEM219,1292,1,1292
CCT6A,2584,2,1292
NRBP2,3877,3,1292.3333333333333
TSPAN12,2585,2,1292.5
HOXB9,2586,2,1293
CFDP1,1293,1,1293
POM121L12,1293,1,1293
NFXL1,3880,3,1293.3333333333333
DHRS7C,1294,1,1294
LMO1,1294,1,1294
CREB3L3,2588,2,1294
FBXO34,3883,3,1294.3333333333333
CCDC175,2591,2,1295.5
CLEC4A,1296,1,1296
ITGAD,3889,3,1296.3333333333333
CASQ2,2593,2,1296.5
UNK,3890,3,1296.6666666666667
CASC3,3890,3,1296.6666666666667
ODF2,3890,3,1296.6666666666667
CEACAM6,2594,2,1297
PCSK9,3891,3,1297
VAMP7,2594,2,1297
SLITRK1,5189,4,1297.25
HAL,3892,3,1297.3333333333333
TIE1,3893,3,1297.6666666666667
TRPA1,5191,4,1297.75
CAPN8,2596,2,1298
RAD51B,2596,2,1298
CHRNB4,2596,2,1298
RECQL4,3896,3,1298.6666666666667
DNAI1,2598,2,1299
POM121L2,3897,3,1299
CLEC4G,1299,1,1299
UQCR11,1299,1,1299
BMX,2598,2,1299
ZNHIT2,1299,1,1299
GPR17,2598,2,1299
"NAPA",3898,3,1299.3333333333333
CCDC38,2599,2,1299.5
CCM2L,2599,2,1299.5
MYOZ1,1300,1,1300
PTTG1IP,2600,2,1300
ZMYND15,2600,2,1300
PLA2G3,2600,2,1300
CXXC5,2601,2,1300.5
PNMA1,2602,2,1301
FLT3LG,1301,1,1301
BHMT2,2603,2,1301.5
HOOK2,2603,2,1301.5
FOXS1,1302,1,1302
GANAB,3906,3,1302
DENND1A,5208,4,1302
TOX2,2605,2,1302.5
RET,6513,5,1302.6
RIOK2,3909,3,1303
GJA3,5214,4,1303.5
HDAC10,2607,2,1303.5
CYP1A1,2608,2,1304
STX10,1304,1,1304
F5,9132,7,1304.5714285714287
CIDEC,1305,1,1305
ATP1A4,3916,3,1305.3333333333333
SALL1,5223,4,1305.75
PLA2G2A,1306,1,1306
GRIN3A,7838,6,1306.3333333333333
DNAJB5,5228,4,1307
PPBP,1307,1,1307
SLC25A5,1307,1,1307
PTPRH,3923,3,1307.6666666666667
COL4A1,6540,5,1308
HNRNPUL1,3925,3,1308.3333333333333
PEX12,2617,2,1308.5
ZNF45,3926,3,1308.6666666666667
ARMC12,1309,1,1309
CSNK2A3,1309,1,1309
CPT1A,5238,4,1309.5
AK5,3929,3,1309.6666666666667
ARR3,1310,1,1310
C8orf76,1310,1,1310
TCOF1,5240,4,1310
TMPRSS7,2620,2,1310
SMC6,5240,4,1310
TMEM205,1310,1,1310
FIGNL1,3930,3,1310
MYH7B,6551,5,1310.2
SLC29A3,2621,2,1310.5
TOM1,2622,2,1311
DACH1,5245,4,1311.25
ZNF410,2623,2,1311.5
BEX4,1312,1,1312
SFI1,5250,4,1312.5
TCFL5,2625,2,1312.5
AGBL4,3938,3,1312.6666666666667
BOK,2626,2,1313
UNC5A,3941,3,1313.6666666666667
PPP1R15B,5259,4,1314.75
ART1,1315,1,1315
TSSK2,1315,1,1315
CELSR1,11839,9,1315.4444444444443
CRTC2,2631,2,1315.5
ACSL1,3948,3,1316
RABL6,3949,3,1316.3333333333333
TTPA,2633,2,1316.5
DNASE2B,1317,1,1317
ERCC5,5269,4,1317.25
CEP70,2636,2,1318
ZNF461,3955,3,1318.3333333333333
EVPL,6592,5,1318.4
INPP5D,5274,4,1318.5
ADCY4,5276,4,1319
KIF16B,5276,4,1319
MROH2B,5280,4,1320
OR10G3,2640,2,1320
TTLL3,5282,4,1320.5
CDC123,1321,1,1321
GPR27,2642,2,1321
SERPINA7,2642,2,1321
RUFY1,2642,2,1321
AFAP1L2,3964,3,1321.3333333333333
TGM3,2643,2,1321.5
KRT82,2644,2,1322
GGT6,2644,2,1322
WDR38,1323,1,1323
R3HDML,1323,1,1323
GAS6,2646,2,1323
RTKN,2646,2,1323
MMP7,1323,1,1323
GALNT1,3970,3,1323.3333333333333
ZFP42,2647,2,1323.5
KEAP1,2648,2,1324
CHAT,5296,4,1324
CCDC107,1324,1,1324
KLK8,1324,1,1324
ZNF581,1324,1,1324
CPED1,5304,4,1326
ACO2,3978,3,1326
LNX1,3978,3,1326
CCDC170,5306,4,1326.5
CCAR2,3980,3,1326.6666666666667
GALNT6,5307,4,1326.75
CACNB1,5308,4,1327
NDRG1,3983,3,1327.6666666666667
ZFHX2,9296,7,1328
MAK,3984,3,1328
CD58,1328,1,1328
FLAD1,2656,2,1328
PGM1,2657,2,1328.5
AP3B1,3986,3,1328.6666666666667
ANKRD11,9301,7,1328.7142857142858
MYF6,1329,1,1329
PLAU,2658,2,1329
OR52N4,1329,1,1329
BTBD19,2659,2,1329.5
ACAP3,5319,4,1329.75
ADCY9,7980,6,1330
MTMR8,2660,2,1330
TIMD4,1330,1,1330
TKTL2,2660,2,1330
DHRS1,2660,2,1330
DUSP12,1330,1,1330
TLR10,3991,3,1330.3333333333333
PPAN-P2RY11,2661,2,1330.5
RIMS1,7984,6,1330.6666666666667
DLGAP1,6655,5,1331
VWA3B,5324,4,1331
CSF1,3994,3,1331.3333333333333
HDAC5,5326,4,1331.5
ALDH16A1,3995,3,1331.6666666666667
MST1L,3995,3,1331.6666666666667
CDT1,2664,2,1332
PRSS50,1332,1,1332
UBAP2L,3997,3,1332.3333333333333
ATP6V1E1,1333,1,1333
PSMD4,1333,1,1333
VIM,2666,2,1333
UNC45A,4002,3,1334
TCIRG1,2668,2,1334
PCDHA7,5339,4,1334.75
POLDIP2,2670,2,1335
KDM2B,6676,5,1335.2
USP44,4008,3,1336
TXN2,1336,1,1336
PALB2,4008,3,1336
CHRNG,4009,3,1336.3333333333333
SPTA1,8018,6,1336.3333333333333
CREB3L1,2673,2,1336.5
CBX4,2675,2,1337.5
MROH2A,5350,4,1337.5
ABCB5,5350,4,1337.5
AMBRA1,5351,4,1337.75
ACACB,9368,7,1338.2857142857142
RNF19B,2677,2,1338.5
C16orf96,4017,3,1339
DMPK,4017,3,1339
MSGN1,1339,1,1339
BNIP1,1339,1,1339
SMC4,5356,4,1339
PTPRC,5357,4,1339.25
ERCC3,4018,3,1339.3333333333333
RAB3GAP1,8038,6,1339.6666666666667
KCTD3,4019,3,1339.6666666666667
DHRS4,1340,1,1340
NRCAM,6701,5,1340.2
SYTL1,2681,2,1340.5
IRX6,2681,2,1340.5
OR6C3,1341,1,1341
SLCO6A1,2682,2,1341
CAPN13,2683,2,1341.5
CFAP43,5367,4,1341.75
SDF2,1342,1,1342
TICAM1,2684,2,1342
C11orf53,1343,1,1343
CACNB3,4029,3,1343
ASTE1,2687,2,1343.5
HELZ2,8064,6,1344
SSTR5,2689,2,1344.5
ZNF687,5378,4,1344.5
CCDC57,5379,4,1344.75
E2F1,2690,2,1345
LGALS4,1345,1,1345
PIF1,2690,2,1345
KDM6B,6728,5,1345.6
HRH3,2692,2,1346
LAMTOR1,1346,1,1346
B3GNT3,2692,2,1346
PDE7B,5385,4,1346.25
CWF19L1,2694,2,1347
GLS2,2694,2,1347
ZNF586,2695,2,1347.5
SPEG,10782,8,1347.75
RGS2,1348,1,1348
PIEZO1,8089,6,1348.1666666666667
LRIG3,4046,3,1348.6666666666667
FAM178B,2698,2,1349
LRRC45,2698,2,1349
LRRC3C,1350,1,1350
"NAT14",1350,1,1350
FGFBP1,1351,1,1351
EBF1,5405,4,1351.25
RNASE9,2703,2,1351.5
UBAP1,2705,2,1352.5
LRP3,4058,3,1352.6666666666667
VPS37B,2706,2,1353
TRIM77,1353,1,1353
C1QTNF5,1353,1,1353
ZNF761,4061,3,1353.6666666666667
DROSHA,5416,4,1354
CNOT8,2708,2,1354
RUVBL1,4062,3,1354
ZNF584,2709,2,1354.5
COL16A1,5418,4,1354.5
CPOX,2709,2,1354.5
MX2,4064,3,1354.6666666666667
CATSPER3,1355,1,1355
CNTN6,4065,3,1355
C11orf65,2711,2,1355.5
CCDC102B,2711,2,1355.5
SLCO2A1,4067,3,1355.6666666666667
ADGB,6779,5,1355.8
AMBP,1356,1,1356
CORO6,4069,3,1356.3333333333333
DCPS,5427,4,1356.75
CHKA,2714,2,1357
ZNF71,5428,4,1357
CHD1,8145,6,1357.5
ZNF674,4073,3,1357.6666666666667
ROM1,1358,1,1358
ZNF169,2716,2,1358
ZNF836,4076,3,1358.6666666666667
RAB40C,2718,2,1359
PCNA,1359,1,1359
RCE1,2719,2,1359.5
CD86,2720,2,1360
HMBOX1,4082,3,1360.6666666666667
MYBPC1,4082,3,1360.6666666666667
RCSD1,5443,4,1360.75
SLC39A1,2723,2,1361.5
SLC15A2,5447,4,1361.75
RNASE7,1362,1,1362
TARS2,2727,2,1363.5
PRL,1364,1,1364
ABCA6,8186,6,1364.3333333333333
MKNK2,4093,3,1364.3333333333333
NLRC5,6822,5,1364.4
LAPTM4A,1365,1,1365
SEMA6A,6828,5,1365.6
COL5A2,6829,5,1365.8
CFAP61,4098,3,1366
UPK1A,1366,1,1366
FRMPD1,5465,4,1366.25
PDZRN4,4102,3,1367.3333333333333
RGS9,2736,2,1368
ZFAT,5472,4,1368
OR5B12,1368,1,1368
KLHL1,4105,3,1368.3333333333333
OR4C11,2737,2,1368.5
SLA2,2737,2,1368.5
STT3B,4107,3,1369
KHDRBS1,2738,2,1369
LHX5,2739,2,1369.5
ITGA3,5479,4,1369.75
MKRN3,2740,2,1370
PPIL3,1370,1,1370
KIFAP3,4111,3,1370.3333333333333
SLC39A8,4112,3,1370.6666666666667
INCENP,4114,3,1371.3333333333333
ZFYVE28,4114,3,1371.3333333333333
RBBP6,6858,5,1371.6
SAMSN1,2744,2,1372
TSTD2,4116,3,1372
TMEM145,2744,2,1372
PODNL1,2744,2,1372
DBH,2745,2,1372.5
SLC5A11,2745,2,1372.5
HSF5,4118,3,1372.6666666666667
C1orf226,4122,3,1374
TREH,2748,2,1374
ZNF615,4122,3,1374
ZP2,2749,2,1374.5
CCDC33,2750,2,1375
SLC39A2,1376,1,1376
FCAMR,2752,2,1376
PATL1,4129,3,1376.3333333333333
RBM15,4129,3,1376.3333333333333
HNRNPF,2755,2,1377.5
MYO1D,5510,4,1377.5
FAM98C,4133,3,1377.6666666666667
KIF26A,6889,5,1377.8
METTL1,1378,1,1378
FIBP,1378,1,1378
UMODL1,5516,4,1379
ITGA7,4138,3,1379.3333333333333
CCNI,2759,2,1379.5
ZSWIM6,5518,4,1379.5
DHX57,5519,4,1379.75
RNF113B,1380,1,1380
FAM193A,5522,4,1380.5
TES,2763,2,1381.5
GPNMB,2763,2,1381.5
SHBG,1382,1,1382
BCOR,6910,5,1382
MYH14,6914,5,1382.8
INCA1,1383,1,1383
STRA8,1383,1,1383
DPPA2,1383,1,1383
ZNF18,2767,2,1383.5
ZNF25,4152,3,1384
ANKRD13D,2768,2,1384
HCN4,6922,5,1384.4
STAT4,2769,2,1384.5
KIF13A,6924,5,1384.8
DRD3,2770,2,1385
ZBTB17,2770,2,1385
ZNF300,4155,3,1385
ASPM,11085,8,1385.625
CAMTA1,8314,6,1385.6666666666667
ACTR3B,5543,4,1385.75
AMN,2772,2,1386
DDX31,4159,3,1386.3333333333333
BRS3,2773,2,1386.5
ANKRD18B,4160,3,1386.6666666666667
ATAD2,5547,4,1386.75
PLCL2,4161,3,1387
DMTN,2774,2,1387
TMEM233,2775,2,1387.5
GLA,4163,3,1387.6666666666667
C11orf54,4163,3,1387.6666666666667
GANC,5553,4,1388.25
ELOVL7,4165,3,1388.3333333333333
TBC1D9,5554,4,1388.5
IRF2BPL,4166,3,1388.6666666666667
GCM1,2780,2,1390
FAM163A,2781,2,1390.5
COL21A1,4173,3,1391
SAP130,4173,3,1391
UPP1,2782,2,1391
BLVRB,1392,1,1392
CA1,2785,2,1392.5
BCL6,4178,3,1392.6666666666667
TSPYL2,4178,3,1392.6666666666667
CAMSAP3,4179,3,1393
MYL9,2786,2,1393
PTPRU,5573,4,1393.25
SLCO1B1,2787,2,1393.5
EXOC4,4182,3,1394
PIGH,1394,1,1394
BTG4,1394,1,1394
PRDM4,4182,3,1394
TRIM35,4183,3,1394.3333333333333
SHOX2,4184,3,1394.6666666666667
ZNF697,5579,4,1394.75
KNTC1,6974,5,1394.8
PKD2L1,2790,2,1395
HS3ST3A1,4186,3,1395.3333333333333
DCAF12L2,2791,2,1395.5
VPS9D1,2791,2,1395.5
CELF3,5582,4,1395.5
SETD9,1396,1,1396
ACTL9,1396,1,1396
AMPD3,4189,3,1396.3333333333333
AWAT1,1397,1,1397
SDSL,1397,1,1397
TEX13A,1397,1,1397
YME1L1,4191,3,1397
WDR90,5589,4,1397.25
PRICKLE3,2795,2,1397.5
OGDH,4193,3,1397.6666666666667
CASS4,4195,3,1398.3333333333333
PPP1CC,2797,2,1398.5
KNG1,4198,3,1399.3333333333333
RBBP8NL,2799,2,1399.5
TRAF3IP1,4199,3,1399.6666666666667
WNK4,4199,3,1399.6666666666667
LMBR1L,2800,2,1400
VIT,2800,2,1400
OR5M3,1400,1,1400
APBB3,2801,2,1400.5
MBD6,4202,3,1400.6666666666667
PCID2,4202,3,1400.6666666666667
EMB,4202,3,1400.6666666666667
AICDA,2803,2,1401.5
ZNF627,2803,2,1401.5
WNT2,4205,3,1401.6666666666667
IGSF9,4205,3,1401.6666666666667
YBEY,1402,1,1402
FHAD1,5610,4,1402.5
DBX2,2806,2,1403
CRB2,5613,4,1403.25
ZNF212,2807,2,1403.5
OR10AG1,2807,2,1403.5
ZNF34,2808,2,1404
ZNF286A,5616,4,1404
COPS6,1404,1,1404
